t,lateral_acc_mag,jerk_mag,risk_rate,torque_norm
0.0000,0.000000,0.000000,0.000000,0.0000
0.0020,14.301868,15517.690685,14316.169669,124.1724
0.0040,30.634764,42839.839226,40464.148250,97.5331
0.0060,15.313073,43498.992985,43201.007607,174.7898
0.0080,18.666471,40702.574245,33994.932309,118.8908
0.0100,15.321728,40740.726132,33972.700457,166.7766
0.0120,18.673696,40741.049208,34007.432079,127.6018
0.0140,15.324103,40776.069130,33976.561544,154.7536
0.0160,18.676778,40774.783560,34009.452669,130.1383
0.0180,31.023999,44168.647576,45362.878032,85.3804
0.0200,5.018808,17747.447023,35495.909904,145.7266
0.0220,17.545294,39087.737916,19169.650937,105.4417
0.0240,45.126323,44987.874024,50565.434740,109.5925
0.0260,23.313009,33832.845873,67623.190618,137.9060
0.0280,27.723486,46368.927863,48243.556719,145.2963
0.0300,25.912159,47555.946898,53604.258312,131.9780
0.0320,20.302691,22147.369148,44212.821304,96.0406
0.0340,33.099116,45527.302163,51594.955141,128.4103
0.0360,15.005328,44133.405126,45047.950224,127.5629
0.0380,5.103191,8547.709745,17048.894407,34.5445
0.0400,17.388834,39294.357874,18777.351002,174.6115
0.0420,14.013922,40963.521661,31377.081706,42.2849
0.0440,35.711001,11651.674127,23129.970541,174.8288
0.0460,18.645641,47585.659607,54318.532026,92.4295
0.0480,15.062860,40758.745069,33711.199763,163.7704
0.0500,18.695880,40756.004299,33781.414881,96.7222
0.0520,15.106214,40788.561714,33798.677752,153.5239
0.0540,18.740658,40784.242062,33865.947156,99.9479
0.0560,15.141911,40813.735419,33872.988744,147.3714
0.0580,5.108307,8705.231046,17367.645917,71.1642
0.0600,17.308364,39219.786608,18563.512856,163.9544
0.0620,13.846563,40851.531847,31123.982741,62.6164
0.0640,2.168415,6785.385006,13572.912231,133.0010
0.0660,18.893999,38820.728322,20343.453009,123.9296
0.0680,30.825961,44137.491435,45168.950938,97.5176
0.0700,4.897705,17679.630910,35359.497191,126.4901
0.0720,37.930409,44181.761723,38319.036016,151.6468
0.0740,14.196134,47290.606204,51967.565213,125.8854
0.0760,2.200920,6965.527065,13923.972377,93.7000
0.0780,32.739849,42205.713803,34961.605801,125.5898
0.0800,15.252580,44108.056161,44862.494187,125.0054
0.0820,34.490453,10482.298961,20520.208628,124.8991
0.0840,27.411859,49565.654171,56959.558659,145.0843
0.0860,25.924363,47601.187203,53271.064411,117.2945
0.0880,20.931196,42379.934141,32558.083211,114.2299
0.0900,25.966671,42341.401958,32657.567693,154.3631
0.0920,17.258697,43290.717311,39868.017347,118.7369
0.0940,14.035930,40736.562037,31269.259716,144.7284
0.0960,2.192543,6945.819981,13889.456903,95.3283
0.0980,18.326130,38932.211291,19644.559537,166.2855
0.1000,14.957295,40904.758612,33267.312058,78.3812
0.1020,4.857826,8469.589431,16922.113172,134.2533
0.1040,17.373727,39083.442658,18768.602196,133.7584
0.1060,13.989220,40778.381658,31359.517069,128.2630
0.1080,2.068134,6985.448590,13969.466803,57.2055
0.1100,18.302183,38889.769652,19436.181632,175.2370
0.1120,14.806486,40853.542053,33106.690220,45.4140
0.1140,4.815761,8401.555211,16783.651232,126.4722
0.1160,29.157748,40726.292511,33286.289745,83.0997
0.1180,28.216446,37372.337817,3466.863133,152.8941
0.1200,17.696982,42937.442725,40456.815135,152.9991
0.1220,14.116674,40378.538086,31813.153092,136.8375
0.1240,17.691715,40357.659374,31829.486386,154.4522
0.1260,14.104859,40372.584929,31789.729628,129.6378
0.1280,17.681992,40350.472605,31804.149611,156.4493
0.1300,14.795407,40550.583673,32303.562280,131.2136
0.1320,5.116356,8430.892282,16837.593876,142.0077
0.1340,18.548435,11880.216626,23677.845835,114.0652
0.1360,25.913080,41367.266203,41606.181692,167.1405
0.1380,23.382948,43092.784465,49246.963076,103.8215
0.1400,20.651243,21000.503671,41748.395454,132.6895
0.1420,42.761094,50092.507847,55235.759519,147.7036
0.1440,23.845862,52670.464201,64936.694460,129.2127
0.1460,25.799072,46612.414179,49599.283686,147.4084
0.1480,23.845819,46639.685711,49610.769297,129.0484
0.1500,17.234722,19541.545068,38945.738734,80.2851
0.1520,17.303321,38650.343534,25050.562578,175.0633
0.1540,13.973806,40262.039682,31272.241246,83.8636
0.1560,35.189783,10860.197249,21276.360096,175.0696
0.1580,17.646436,47748.597518,52856.797026,115.1999
0.1600,14.345599,41050.149967,31984.065438,161.5595
0.1620,17.680860,41046.422556,32041.424160,115.3886
0.1640,14.374463,41079.248710,32041.459092,152.9204
0.1660,17.710999,41073.915527,32096.939746,116.4363
0.1680,14.396670,41103.663087,32087.854381,149.3809
0.1700,1.166570,7206.432511,14413.539076,98.7247
0.1720,30.366286,40943.242710,29448.507905,123.1880
0.1740,13.916991,42838.158152,40382.571238,141.4191
0.1760,5.240326,7568.921275,15052.660714,76.3066
0.1780,17.481911,39399.697659,19155.287135,171.6589
0.1800,14.142055,41060.753752,31603.490302,75.4784
0.1820,1.735069,7068.860818,14137.867724,126.8438
0.1840,5.113502,3424.837142,6811.484532,69.5609
0.1860,17.477844,39342.763931,18950.830914,174.8264
0.1880,13.969526,40992.271492,31453.446762,55.6923
0.1900,35.420878,11494.553180,22825.846327,174.8262
0.1920,18.416859,47365.282286,53827.793088,79.5542
