t,lateral_acc_mag,jerk_mag,risk_rate,torque_norm
0.0000,0.000000,0.000000,0.000000,0.0000
0.0020,35.754976,39096.453918,78228.662812,124.1724
0.0040,59.706197,88847.171472,177754.049140,97.5333
0.0060,15.355348,84031.590468,168078.536284,174.7898
0.0080,15.862283,76381.168196,152778.198675,118.8910
0.0100,15.324069,76451.218933,152917.761935,166.7766
0.0120,15.854444,76436.289124,152888.432693,127.6019
0.0140,15.296795,76502.518273,153020.333341,154.7535
0.0160,15.846904,76489.245097,152994.337098,130.1387
0.0180,10.107620,75157.909953,150325.927526,85.3774
0.0200,11.415035,34128.881762,68269.178559,145.7246
0.0220,10.859564,41843.031505,83696.922573,105.4447
0.0240,24.243350,74964.879251,149954.001852,109.5892
0.0260,28.326863,34125.132851,68278.592566,137.9026
0.0280,29.740971,49996.506354,100022.753679,145.3008
0.0300,28.596005,79562.390574,159153.377153,131.9752
0.0320,23.995743,41913.571620,83851.138983,96.0349
0.0340,13.386334,45378.255594,90769.897522,128.4162
0.0360,14.677935,75116.830265,150248.338465,127.5622
0.0380,11.866194,35983.546112,71978.958418,34.5604
0.0400,10.357038,41948.141828,83906.640695,174.6117
0.0420,7.197340,74260.565411,148528.328162,42.3209
0.0440,38.989459,29528.880930,59096.751319,174.8288
0.0460,16.638879,59479.967712,118976.574302,92.4688
0.0480,14.524473,76541.580439,153097.685351,163.7609
0.0500,16.630313,76515.670268,153047.970849,96.7483
0.0520,14.516309,76570.061826,153154.639962,153.5189
0.0540,16.622222,76546.038626,153108.699473,99.9842
0.0560,14.512052,76597.017451,153208.546953,147.3367
0.0580,11.684130,36056.632866,72124.949861,71.0853
0.0600,10.303305,41780.976122,83572.255548,163.9886
0.0620,7.253377,74107.394541,148222.042460,62.5539
0.0640,15.480256,34321.578979,68658.638214,132.9560
0.0660,16.764126,44760.444103,89537.652331,124.0172
0.0680,10.859541,75205.353755,150421.567051,97.4861
0.0700,11.501355,34141.937856,68295.377067,126.4566
0.0720,43.667686,32774.785532,65593.238749,151.6463
0.0740,7.205433,57052.943709,114113.092852,125.8665
0.0760,15.651217,34313.148202,68641.947621,93.6583
0.0780,13.202235,42485.793490,84984.789215,125.6089
0.0800,14.524135,75136.154001,150286.832137,125.0291
0.0820,37.533189,30702.618202,61442.769592,124.9140
0.0840,29.369761,57530.171907,115089.713574,145.1941
0.0860,28.476394,79388.244425,158804.965244,117.2097
0.0880,29.338060,79332.850261,158695.038582,155.2932
0.0900,28.466012,79363.602683,158755.671378,95.3438
0.0920,59.154998,86545.334620,173149.824238,133.1775
0.0940,15.471047,84011.063922,168037.598891,144.7655
0.0960,11.149076,36068.516327,72148.181731,113.1901
0.0980,10.715678,41752.378443,83515.472564,165.3859
0.1000,6.479448,74081.862526,148170.204500,103.6182
0.1020,16.375349,34330.968805,68678.312959,134.3091
0.1040,15.908611,44800.230423,89616.369457,151.9764
0.1060,15.324816,76677.511503,153370.347821,128.6024
0.1080,11.094063,36144.874286,72300.842635,93.6517
0.1100,10.736549,41676.135426,83363.007401,175.1972
0.1120,6.658636,74013.110641,148032.879918,90.5755
0.1140,16.258153,34288.709538,68593.677228,126.7001
0.1160,24.774484,33867.370739,67759.515962,115.0403
0.1180,15.109295,65760.465661,131536.040616,169.8640
0.1200,16.065761,76669.635207,153355.336176,126.2554
0.1220,15.077438,76715.420813,153445.919065,156.9197
0.1240,16.084523,76686.423402,153388.931328,128.0642
0.1260,15.050031,76729.022546,153473.095123,152.0663
0.1280,11.017394,36154.718657,72320.454708,122.4480
0.1300,10.627825,41580.484071,83171.595966,160.3068
0.1320,6.782026,73928.644935,147864.071896,111.6797
0.1340,16.109399,34220.950652,68458.010703,140.7195
0.1360,16.305247,44912.849829,89842.004905,143.9381
0.1380,14.917451,76739.265426,153493.448303,132.7169
0.1400,10.909240,36139.856819,72290.622879,97.3504
0.1420,43.364488,32411.041077,64865.446641,175.1936
0.1440,6.994643,56780.004022,113567.002687,93.2442
0.1460,18.938465,73879.353087,147777.644640,124.9682
0.1480,23.595968,77338.018748,154699.633465,95.1598
0.1500,11.664663,37917.624492,75846.913648,124.7047
0.1520,10.011546,41599.153251,83208.318049,151.7876
0.1540,7.384543,73976.616724,147960.617992,128.3540
0.1560,39.276661,29520.926936,59081.130533,151.6452
0.1580,13.124192,57988.139895,115989.403982,95.1527
0.1600,14.291831,75126.648396,150267.588622,162.1609
0.1620,16.799865,76513.083649,153042.967163,97.1085
0.1640,14.303236,76557.651613,153129.606463,152.9307
0.1660,16.790923,76514.993678,153046.778279,100.0233
0.1680,14.317232,76556.267573,153126.852378,148.6609
0.1700,11.677551,35974.323788,71960.325126,74.0639
0.1720,29.194026,42213.353925,84455.901876,163.2441
0.1740,28.265029,79116.151280,158260.567589,67.9681
0.1760,23.909617,41537.636953,83099.183524,132.2676
0.1780,16.425254,42657.669205,85331.763664,126.3229
0.1800,14.743100,76616.506676,153247.756452,132.1929
0.1820,11.205500,36049.580439,72110.366378,38.8245
0.1840,16.006180,10940.234117,21896.474415,130.6582
0.1860,16.577388,44865.328071,89747.233529,127.1450
0.1880,14.667996,76675.899656,153366.467308,124.2100
0.1900,36.761149,30610.718235,61258.197620,125.9412
0.1920,10.186225,56718.280531,113446.747286,135.9700
0.1940,7.247825,73923.624980,147854.497784,125.7549
0.1960,10.224056,73876.020909,147762.265874,154.1743
0.1980,7.232251,73909.234805,147825.701862,105.7591
0.2000,10.257887,73864.196845,147738.651577,156.1661
0.2020,7.220914,73894.748001,147796.716916,86.9435
0.2040,10.287579,73852.193570,147714.674720,158.7614
0.2060,7.213801,73880.153278,147767.520358,78.4259
0.2080,14.285725,32846.240865,65706.767455,109.3692
0.2100,16.491373,42647.624733,85311.740839,166.1866
0.2120,14.717570,76773.509478,153561.736525,103.8756
0.2140,28.427996,22201.099590,44430.627175,136.9363
0.2160,10.169918,62955.170704,125920.511327,149.0059
0.2180,18.199382,73915.892177,147849.983735,43.5657
0.2200,15.906515,32942.611273,65901.129061,129.4685
0.2220,16.645690,44836.101698,89688.849086,125.6851
0.2240,14.512966,76650.520996,153315.554958,124.9776
0.2260,11.433187,36041.799867,72095.032922,30.5475
0.2280,35.436153,31176.077256,62387.590665,142.1235
0.2300,28.477708,68946.869173,137922.216053,117.9672
0.2320,29.021634,79014.419081,158057.859796,152.6238
0.2340,28.475595,79051.424976,158131.325547,97.7763
0.2360,29.007202,79004.880008,158038.767218,153.9340
0.2380,28.468728,79038.044677,158104.558083,89.0054
0.2400,28.986995,78992.868572,158014.724138,155.8168
0.2420,28.456936,79022.229432,158072.915800,93.0961
0.2440,23.798572,41466.250831,82956.300234,143.1156
0.2460,28.345563,24732.899482,49494.144528,72.3021
0.2480,58.780337,59873.691873,119806.164083,142.7888
0.2500,15.359934,83950.127077,167915.614088,134.0275
0.2520,10.585657,36134.976282,72280.538220,99.8849
0.2540,10.836452,41502.188142,83015.212737,175.1596
0.2560,6.509610,73861.411888,147729.333387,93.5417
0.2580,16.516905,34189.793292,68396.103488,127.5042
0.2600,16.051723,44995.291701,90006.635125,151.8257
0.2620,15.203187,76790.019152,153595.241491,124.7437
0.2640,10.548026,36169.433156,72349.414338,91.3098
0.2660,16.459381,15270.881431,30558.222242,133.5565
0.2680,6.719113,41490.518362,82987.755837,151.8400
0.2700,10.368638,73766.098265,147542.565169,151.2368
0.2720,6.737701,73814.570952,147635.879605,137.0978
0.2740,10.341025,73765.609096,147541.559217,154.4271
0.2760,6.760220,73810.905496,147628.571212,125.9537
0.2780,10.311867,73764.545660,147539.403186,156.6809
0.2800,6.786637,73806.750608,147620.287853,121.4834
0.2820,16.613474,34166.779097,68350.171668,143.8152
0.2840,15.967958,45035.139530,90086.247017,137.7502
0.2860,15.005279,76813.498300,153642.001878,139.1761
0.2880,10.939943,36189.950901,72390.841746,100.5828
0.2900,10.266103,41423.014161,82856.294426,172.8918
0.2920,6.944035,73808.708438,147624.360912,98.7711
0.2940,16.507572,34206.877195,68430.261961,127.3408
0.2960,16.183507,45036.778508,90089.740523,151.2154
