t,lat_acc,jerk,lat_jerk,risk_rate,tilt_deg
0.0020,0.000000,0.000000,0.000000,0.000000,0.0000
0.0040,0.000000,0.000000,0.000000,0.000000,0.0292
0.0060,0.394081,14063.892431,4926.011938,8867.215569,0.0460
0.0080,0.562900,39249.064582,13963.856641,25135.504854,0.0927
0.0100,0.456927,39451.642357,14675.699517,26416.716058,0.1212
0.0120,0.642659,37965.037144,12620.614932,22717.749537,0.1741
0.0140,0.407982,38004.719492,12620.229618,22716.821294,0.2087
0.0160,0.743327,38006.363930,12614.147972,22706.209678,0.2691
0.0180,0.417923,38043.854100,12609.180653,22696.943099,0.3101
0.0200,0.850363,38043.441417,12601.361927,22683.301831,0.3788
0.0220,0.470497,38078.761873,12588.521103,22659.808482,0.4251
0.0240,0.687448,5162.122437,4802.781747,8645.694594,0.4532
0.0260,0.616693,40463.155413,12988.708516,23380.292021,0.5078
0.0280,0.665930,39137.166590,13116.487894,23610.344139,0.5422
0.0300,0.669594,3962.110711,3838.983596,6910.840067,0.5552
0.0320,0.722375,39343.197856,12084.410849,21752.661903,0.5984
0.0340,0.580129,38143.122265,12563.658072,22615.164658,0.6185
0.0360,0.949982,4972.896386,4620.288963,8317.470117,0.6201
0.0380,0.567031,40393.949514,12825.948283,23087.273940,0.6495
0.0400,0.836811,39096.100486,12981.860689,23368.186050,0.6600
0.0420,0.597743,39078.561042,12970.847689,23348.123582,0.6986
0.0440,0.765409,39093.862045,12956.143314,23321.823374,0.7169
0.0460,0.819190,3969.659252,3843.555570,6919.219216,0.7135
0.0480,0.756466,39412.592345,12173.240430,21912.589240,0.7416
0.0500,0.690279,38216.886027,12621.356451,22719.131890,0.7467
0.0520,1.060502,4825.816500,4479.386327,8063.955891,0.7328
0.0540,0.613995,40321.020707,12682.873233,22829.785815,0.7481
0.0560,0.918780,39039.960609,12857.301040,23144.060652,0.7745
0.0580,0.896501,15994.099264,15899.352029,28619.730153,0.7919
0.0600,1.332315,34974.146061,4176.664894,7519.329124,0.8422
0.0620,0.918504,38273.281159,12611.735703,22702.042770,0.8686
0.0640,1.380753,38274.413419,12605.903974,22692.007907,0.9289
0.0660,0.948550,38311.620189,12594.503174,22671.054262,0.9650
0.0680,0.942485,4647.215959,4315.543946,7768.921587,0.9918
0.0700,1.014168,45753.200235,23657.501606,42584.517059,1.0414
0.0720,1.005105,54013.032418,37713.006033,67884.415964,1.0648
0.0740,0.836511,25012.286777,20248.632194,36448.374459,1.0796
0.0760,1.557135,26184.940991,20317.957094,36573.879904,1.0693
0.0780,0.843702,52880.292462,33939.087133,61091.200542,1.0841
0.0800,1.368961,54040.957112,37753.279400,67957.271881,1.0850
0.0820,0.664303,54039.070554,37780.111570,68004.865129,1.1103
0.0840,1.217821,54057.777329,37769.464282,67986.253529,1.1218
0.0860,0.546086,54055.154631,37796.677542,68034.565662,1.1574
0.0880,1.105258,54073.301761,37790.453174,68023.920971,1.1796
0.0900,0.955582,34083.170531,34075.022478,61335.996042,1.1824
0.0920,0.350095,42289.355138,20948.821523,37708.228836,1.2203
0.0940,0.719431,38420.982542,12658.386983,22785.816000,1.2342
0.0960,0.173622,38410.693836,12659.179056,22786.695922,1.2824
0.0980,0.503480,38433.656163,12662.185328,22792.437070,1.3064
0.1000,0.756844,4453.918623,4137.916721,7449.006942,1.3104
0.1020,0.256460,40158.497500,12188.636114,21939.801465,1.3450
0.1040,0.538618,38944.866717,12430.601898,22375.622035,1.3587
0.1060,0.891141,4038.245104,3904.845895,7029.613751,1.3814
0.1080,0.994881,49069.141553,27816.240588,50070.227940,1.4505
0.1100,0.527545,48317.212380,28341.525590,51015.273608,1.4952
0.1120,1.090029,38444.849348,12617.978660,22713.451616,1.5725
0.1140,0.619743,38477.075044,12595.470757,22672.467105,1.6248
0.1160,0.431471,4272.325391,3962.802446,7133.475874,1.6560
0.1180,0.765792,40104.531272,11950.852959,21512.301118,1.7173
0.1200,0.519013,38923.537271,12177.266513,21919.598735,1.7570
0.1220,0.288198,3958.722920,3828.208564,6891.063612,1.7723
0.1240,0.651478,39671.228731,12275.225031,22096.056535,1.8216
0.1260,0.307302,38525.692856,12545.784406,22582.719232,1.8461
0.1280,0.769228,38519.303651,12541.625121,22575.694446,1.9048
0.1300,0.374376,38547.531329,12524.983838,22545.345285,1.9491
0.1320,1.462408,15522.900999,15236.940252,27427.954862,1.9575
0.1340,0.857174,47984.738567,26874.403516,48374.783503,1.9978
0.1360,1.228557,38866.722873,12026.097228,21648.203567,2.0168
0.1380,0.632365,38851.112450,12010.358893,21619.278372,2.0678
0.1400,1.019685,38872.371355,11982.817650,21570.091455,2.0972
0.1420,0.437000,38855.010528,11966.237515,21539.664527,2.1590
0.1440,0.836788,38874.514206,11935.126896,21484.065201,2.1988
0.1460,0.286164,38855.414210,11917.664772,21452.082753,2.2711
0.1480,0.682302,38873.201163,11884.030035,21391.936365,2.3220
0.1500,0.959830,3953.237065,3818.557417,6874.363181,2.3478
0.1520,0.508428,39776.564021,12255.057754,22059.612385,2.4100
0.1540,0.768860,38647.258924,12463.113509,22434.373176,2.4476
0.1560,1.120419,3850.828094,3567.648232,6422.887236,2.4725
0.1580,0.948540,45380.252791,22993.274089,41388.841901,2.5245
0.1600,0.968035,53913.926394,37486.872677,67477.338854,2.5567
0.1620,0.441194,50288.773787,32433.030138,58379.895441,2.6243
0.1640,0.537305,41975.273455,18679.441084,33623.531256,2.6702
0.1660,0.911090,3814.563050,3672.730758,6611.826454,2.6905
0.1680,0.296518,39800.335505,12256.563768,22062.111299,2.7475
0.1700,0.691109,38670.238425,12448.960667,22408.820310,2.7795
0.1720,0.964460,3637.202792,3347.713429,6026.848631,2.7894
0.1740,0.438278,39879.670261,11321.433794,20379.019108,2.8334
0.1760,0.730462,38645.040906,11534.287229,20762.447475,2.8556
0.1780,1.100558,4487.967441,4309.558126,7758.305185,2.8637
0.1800,1.735765,36755.182155,3657.562689,6585.348604,2.8935
0.1820,2.096548,35396.903371,3330.160354,5996.385185,2.8984
0.1840,1.417400,38993.666692,13021.585946,23440.272103,2.9403
0.1860,1.790922,39021.509005,13028.255922,23452.651581,2.9571
0.1880,1.126726,39012.914310,13036.985942,23467.701421,3.0109
0.1900,1.510948,39038.785760,13038.722270,23471.211035,3.0394
0.1920,0.862919,39028.377015,13045.843852,23483.381853,3.1048
0.1940,1.255078,39052.311559,13042.615721,23477.963376,3.1447
0.1960,0.626508,39040.116074,13048.163218,23487.320300,3.2216
0.1980,1.022074,39062.148101,13037.477936,23468.482359,3.2741
0.2000,1.310874,3983.152210,3800.756745,6842.673016,3.3038
0.2020,0.747433,39524.904315,11012.216422,19822.736993,3.3683
0.2040,1.076659,38369.028299,11308.478494,20356.337948,3.4111
0.2060,1.421570,4278.424735,4058.873777,7307.394370,3.4285
0.2080,0.799324,40228.492300,12891.594966,23205.670263,3.4839
0.2100,1.172484,39058.717307,13085.758227,23555.537292,3.5133
0.2120,0.581650,39044.924940,13100.166786,23580.881866,3.5807
0.2140,0.946845,39064.124334,13101.945542,23584.448820,3.6238
0.2160,1.247875,3706.084235,3509.966828,6319.188165,3.6479
0.2180,0.783044,42282.635925,17613.777537,31705.582611,3.7089
0.2200,0.913205,41294.660445,18085.097548,32554.088790,3.7480
0.2220,1.294387,4063.393880,3811.511281,6862.014692,3.7613
0.2240,0.636571,40231.549286,12961.891968,23332.042113,3.8129
0.2260,1.037611,39029.753924,13175.304500,23716.585711,3.8382
0.2280,0.392855,39011.820383,13190.580258,23743.437320,3.9017
0.2300,0.802098,39024.966980,13196.605357,23754.691741,3.9406
0.2320,1.039263,3463.325035,3242.810503,5838.098169,3.9674
0.2340,1.808555,37410.416814,8442.157171,15197.691462,4.0145
0.2360,2.035203,35992.305065,8464.945287,15238.936720,4.0383
0.2380,1.482869,38022.245503,11125.044648,20026.563235,4.0981
