t,lat_acc,jerk,lat_jerk,risk_rate
0.0020,0.000000,0.000000,0.000000,0.000000
0.0040,0.000000,0.000000,0.000000,0.000000
0.0060,0.542928,7579.100030,6786.597997,12216.419323
0.0080,0.973934,24578.070749,20298.362014,36538.025559
0.0100,0.308641,31916.459836,28720.942308,51698.004795
0.0120,0.542124,26018.233014,22617.417773,40711.894115
0.0140,0.837590,18687.370660,5103.629682,9187.371017
0.0160,0.565777,14456.400235,13867.631071,24962.301705
0.0180,0.713682,21935.537688,16984.394751,30572.624234
0.0200,0.532116,19263.716600,14375.378570,25876.213541
0.0220,0.673878,10799.233683,8878.839541,15982.585051
0.0240,0.672306,22477.124772,10276.129257,18497.704968
0.0260,0.644335,24757.936523,19798.661762,35638.235506
0.0280,0.629145,24754.233967,19795.538642,35632.598701
0.0300,0.619402,24757.915141,19795.585725,35632.673707
0.0320,0.425724,12246.272437,11118.172463,20013.136157
0.0340,0.750745,22485.008018,10215.195997,18388.103540
0.0360,0.412640,24888.194432,19923.786091,35863.227604
0.0380,0.298240,13907.465198,13347.012926,24024.921508
0.0400,0.625703,17927.002111,3269.863181,5886.379429
0.0420,0.274620,18396.178668,13475.758462,24256.639853
0.0440,0.583490,18391.983616,13472.919126,24251.837917
0.0460,0.387063,21273.999225,16394.039131,29509.657499
0.0480,0.269629,13927.911375,13217.856863,23792.411982
0.0500,0.581273,18550.415310,3129.928568,5634.452695
0.0520,0.251842,18751.954684,13324.470969,23984.299586
0.0540,0.239685,9256.998954,7221.845565,12999.561702
0.0560,0.587741,19656.271671,6163.253762,11094.444513
0.0580,0.222848,18395.374597,13453.289214,24216.143434
0.0600,0.239543,9796.780349,7380.178357,13284.560585
0.0620,0.578866,20244.080192,6031.482628,10857.247595
0.0640,0.222574,18749.246612,13300.160959,23940.512300
0.0660,0.539064,18744.068782,13294.029627,23929.792393
0.0680,0.212852,18749.544888,13292.972476,23927.563309
0.0700,0.197387,9244.294276,7223.508335,13002.512390
0.0720,0.505478,19910.765973,6495.084463,11691.657512
0.0740,0.196334,19078.215328,14077.629370,25339.929201
0.0760,0.013773,10496.584137,8529.456750,15353.035924
0.0780,0.554082,20512.347469,7677.033174,13819.213795
0.0800,0.048158,19251.996126,14265.469806,25677.893809
0.0820,0.519256,19246.452063,14259.685772,25667.953646
0.0840,0.081808,19251.406503,14259.290445,25666.804610
0.0860,0.198442,10761.871014,8891.438220,16004.787238
0.0880,0.491136,20487.785017,7712.768158,13883.473821
0.0900,0.199953,19078.896119,14062.455630,25312.620086
0.0920,0.024463,10497.896225,8541.425294,15374.589991
0.0940,0.197702,25529.371154,4576.238398,8237.426818
0.0960,0.035669,25534.230754,4578.620989,8241.553450
0.0980,0.196726,25526.365932,4577.954752,8240.515280
0.1000,0.047736,25530.996136,4575.815005,8236.514745
0.1020,0.196180,4760.261406,4760.139244,8568.446819
0.1040,0.063339,25611.134036,5286.774536,9516.257502
0.1060,0.189704,25615.097910,5286.206905,9515.362133
0.1080,0.555227,10756.641795,8886.509112,15996.271629
0.1100,0.024794,18811.824325,13486.392099,24275.530572
0.1120,0.548939,18737.741222,13217.084766,23791.301518
0.1140,0.021058,18732.327999,13213.785286,23784.834572
0.1160,0.623160,20858.691862,14203.092882,25566.190348
0.1180,0.156909,23660.098766,17136.607070,30846.049635
0.1200,0.621766,24495.691707,19072.239568,34330.652989
0.1220,0.320850,13590.587202,13096.200240,23573.481283
0.1240,0.217809,17906.828472,3123.166165,5621.916906
0.1260,0.335022,18385.847146,13361.173552,24050.447417
0.1280,0.203652,18383.024495,13358.918806,24046.257503
0.1300,0.460400,19750.073182,14753.590350,26556.923030
0.1320,0.394346,10594.148488,8814.577161,15866.633236
0.1340,0.141446,20229.802373,5881.908804,10587.577293
0.1360,0.402209,18736.695171,13178.130936,23721.037894
0.1380,0.343968,9201.596679,7230.651797,13015.517202
0.1400,0.431237,21654.198646,8954.299649,16118.170605
0.1420,0.366263,24204.694836,19206.938294,34572.855192
0.1440,0.178018,21269.170575,16277.494722,29299.668518
0.1460,0.377097,18386.981311,13341.115737,24014.385423
0.1480,0.315699,9778.843280,7426.300669,13367.656903
0.1500,0.452955,22212.568899,8781.468302,15807.095899
0.1520,0.377316,24541.253005,19212.872671,34583.548123
0.1540,0.065955,14630.862761,14099.803170,25379.711660
0.1560,0.493399,18815.586430,5627.012460,10129.115827
0.1580,0.215278,20553.182223,15464.257061,27835.877987
0.1600,0.343851,20555.574658,15465.931310,27839.020208
0.1620,0.240037,19077.481784,13970.457586,25147.063692
0.1640,0.214556,10477.719130,8568.515612,15423.542658
0.1660,0.475607,24819.851302,6213.975231,11185.631023
0.1680,0.207236,24529.394489,8553.138096,15395.855809
0.1700,0.795369,12641.377866,12258.887201,22066.792330
0.1720,0.264235,21189.588179,15052.317848,27094.436361
0.1740,0.773378,19072.702110,13957.641676,25124.528395
0.1760,0.244337,19070.089592,13955.968067,25120.986859
0.1780,0.753766,19072.576751,13951.686137,25113.788813
0.1800,0.226850,19071.209700,13950.793625,25111.655376
0.1820,0.736138,19072.875171,13948.007580,25107.149782
0.1840,0.662060,10466.864943,8564.416286,15416.611375
0.1860,0.153001,20484.687584,7505.530223,13510.107402
0.1880,0.651861,19225.325212,14098.491196,25377.936014
0.1900,0.129843,19154.386471,13983.932901,25171.209065
0.1920,0.647512,19158.115162,13983.372671,25170.718320
0.1940,0.569440,10698.270609,8889.490942,16001.653137
0.1960,0.233560,22419.962274,10030.884734,18055.826081
0.1980,0.577220,24750.205289,19599.483304,35279.647168
0.2000,0.507500,12248.677986,11200.865885,20162.066093
0.2020,0.284604,22165.878871,8977.456084,16159.705556
0.2040,0.518725,24486.321514,18956.566550,34122.338515
0.2060,0.269786,24485.688157,18956.929604,34122.743073
0.2080,0.529675,24486.662001,18952.451919,34114.943128
0.2100,0.236138,13578.089852,13110.910955,23599.875858
0.2120,0.306853,17905.656275,3002.276673,5404.404864
0.2140,0.260194,18390.508557,13263.876040,23875.237066
0.2160,0.279985,18390.562567,13265.432367,23878.058245
0.2180,0.514283,21263.434736,16188.122349,29139.134510
0.2200,0.205290,13958.604094,13309.922699,23958.066149
0.2220,0.317222,18560.668191,2811.134872,5060.359992
0.2240,0.233431,18739.672074,13055.637929,23500.381703
0.2260,0.179648,9157.050516,7243.875703,13039.155913
0.2280,0.475180,24024.944220,4375.444605,7876.275469
