name,kp_scale,kd_scale,task_kp,time_scale,sim_time,risk_integral,score
0,0.8,0.8,0.4,1.0,5.6020,150000.616058,75003.109029
1,0.8,0.8,0.4,1.5,3.7340,101723.540982,50863.637491
2,0.8,0.8,0.6,1.0,5.6020,147263.788708,73634.695354
3,0.8,0.8,0.6,1.5,3.7340,94198.794549,47101.264275
4,0.8,1.0,0.4,1.0,5.6020,143321.711454,71663.656727
5,0.8,1.0,0.4,1.5,3.7340,95600.818586,47802.276293
6,0.8,1.0,0.6,1.0,5.6020,144003.613452,72004.607726
7,0.8,1.0,0.6,1.5,3.7340,96962.282881,48483.008441
8,0.8,1.2,0.4,1.0,5.6020,156446.067021,78225.834510
9,0.8,1.2,0.4,1.5,3.7340,94649.987249,47326.860624
10,0.8,1.2,0.6,1.0,5.6020,144030.819675,72018.210837
11,0.8,1.2,0.6,1.5,3.7340,93144.312073,46574.023037
12,1.0,0.8,0.4,1.0,5.6020,147289.870228,73647.736114
13,1.0,0.8,0.4,1.5,3.7340,96669.301864,48336.517932
14,1.0,0.8,0.6,1.0,5.6020,147040.144435,73522.873218
15,1.0,0.8,0.6,1.5,3.7340,104098.807147,52051.270573
16,1.0,1.0,0.4,1.0,5.6020,145649.310334,72827.456167
17,1.0,1.0,0.4,1.5,3.7340,98793.879293,49398.806647
18,1.0,1.0,0.6,1.0,5.6020,146905.407805,73455.504902
19,1.0,1.0,0.6,1.5,3.7340,101229.798570,50616.766285
20,1.0,1.2,0.4,1.0,5.6020,148674.224069,74339.913035
21,1.0,1.2,0.4,1.5,3.7340,97573.677466,48788.705733
22,1.0,1.2,0.6,1.0,5.6020,150474.381264,75239.991632
23,1.0,1.2,0.6,1.5,3.7340,96867.843294,48435.788647
24,1.2,0.8,0.4,1.0,5.6020,148371.766293,74188.684147
25,1.2,0.8,0.4,1.5,3.7340,104032.100326,52017.917163
26,1.2,0.8,0.6,1.0,5.6020,148171.811963,74088.706982
27,1.2,0.8,0.6,1.5,3.7340,98607.931913,49305.832956
28,1.2,1.0,0.4,1.0,5.6020,146806.123404,73405.862702
29,1.2,1.0,0.4,1.5,3.7340,97685.340644,48844.537322
30,1.2,1.0,0.6,1.0,5.6020,150365.693747,75185.647873
31,1.2,1.0,0.6,1.5,3.7340,100873.074620,50438.404310
32,1.2,1.2,0.4,1.0,5.6020,148450.275043,74227.938521
33,1.2,1.2,0.4,1.5,3.7340,99387.251291,49695.492645
34,1.2,1.2,0.6,1.0,5.6020,151650.468288,75828.035144
35,1.2,1.2,0.6,1.5,3.7340,97217.878201,48610.806101
