t,phase,lateral_acc_mag,axial_acc_mag,jerk_mag,lateral_jerk_mag,risk_rate,t_scale,torque_norm
0.0000,1. Hover above tube,0.000000,0.000000,0.000000,0.000000,0.000000,1.0000,16.6815
0.0020,1. Hover above tube,91.672889,50.461529,52321.803500,45836.444386,91764.561661,1.0000,21.0821
0.0040,1. Hover above tube,77.746287,40.622923,9014.022449,7643.541626,15364.829540,1.0000,26.5634
0.0060,1. Hover above tube,68.489309,30.759776,19055.605207,18452.236554,36972.962416,1.0000,33.1031
0.0080,1. Hover above tube,72.507466,22.825189,35439.855973,35234.771824,70542.051114,0.1000,27.3710
0.0100,1. Hover above tube,55.954195,20.601154,37167.004032,37155.964008,74367.882212,0.1000,33.4296
0.0120,1. Hover above tube,60.672277,13.198030,36592.419012,36419.361976,72899.396229,0.1000,27.7790
0.0140,1. Hover above tube,47.347763,12.293905,37892.568415,37891.621283,75830.590329,1.0000,33.3046
0.0160,1. Hover above tube,53.251553,5.862333,37884.574428,37757.113262,75567.478077,0.1000,28.7026
0.0180,1. Hover above tube,42.331434,5.569189,38944.586249,38944.586241,77931.503917,1.0000,34.0986
0.0200,1. Hover above tube,48.336625,1.397925,39164.258225,39015.383569,78079.103763,0.1000,29.2280
0.0220,1. Hover above tube,39.781652,0.907981,40077.882394,40076.365873,80192.513399,0.1000,33.5790
0.0240,1. Hover above tube,45.981228,7.411892,40467.234168,40339.213616,80724.408461,0.1000,28.6055
0.0260,1. Hover above tube,39.268342,6.130723,41206.454564,41200.374697,82440.017737,0.1000,32.2533
0.0280,1. Hover above tube,45.436447,12.165487,41696.400433,41587.751213,83220.938872,0.1000,27.3919
0.0300,1. Hover above tube,39.854884,10.143697,42302.991597,42289.933997,84619.722877,0.1000,30.5746
0.0320,1. Hover above tube,45.879247,15.710240,42827.500014,42736.554661,85518.988569,0.1000,26.0576
0.0340,1. Hover above tube,56.762889,1.876052,50319.793958,49838.878579,99734.520047,0.1000,29.3500
0.0360,1. Hover above tube,48.465950,5.608027,43887.016413,43843.377595,87735.221140,0.1000,25.0051
0.0380,1. Hover above tube,57.323872,1.800788,44191.141470,44152.490269,88362.304410,1.0000,28.3105
0.0400,1. Hover above tube,47.685516,17.748042,51324.781932,50689.541793,101426.769102,0.1000,23.2959
0.0420,1. Hover above tube,57.661507,1.698921,51538.037525,50907.552566,101872.766639,0.1000,26.5212
0.0440,1. Hover above tube,49.966129,5.390559,45352.973819,45312.648487,90675.263103,0.1000,21.8824
0.0460,1. Hover above tube,42.735992,14.089305,44509.959020,44293.243771,88629.223534,1.0000,24.8125
0.0480,1. Hover above tube,50.328566,5.171844,44762.089233,44540.376660,89131.081886,1.0000,20.2709
0.0500,1. Hover above tube,58.075638,1.109006,46202.252674,46158.954235,92375.984108,0.1000,23.7992
0.0520,1. Hover above tube,49.538818,17.873205,52920.677857,52246.434861,104542.408539,0.1000,18.8984
0.0540,1. Hover above tube,58.145094,0.810760,53051.284481,52359.902430,104777.949954,0.1000,22.4569
0.0560,1. Hover above tube,50.932677,4.665487,46909.240537,46868.404331,93787.741340,0.1000,17.8873
0.0580,1. Hover above tube,58.274954,0.857585,46884.094373,46846.135189,93750.545331,1.0000,21.7825
0.0600,1. Hover above tube,48.800770,16.741715,52990.317448,52389.037569,104826.875908,0.1000,16.8721
0.0620,1. Hover above tube,58.225294,0.615751,53029.326470,52412.449846,104883.124986,0.1000,20.8138
0.0640,1. Hover above tube,48.163238,2.828237,46479.768477,46466.354674,92980.872586,0.1000,16.1722
0.0660,1. Hover above tube,45.053161,13.054186,45750.868030,45463.910922,90972.875005,1.0000,20.0371
0.0680,1. Hover above tube,47.874444,1.616638,45874.547553,45516.797171,91081.468787,1.0000,15.5838
0.0700,1. Hover above tube,56.804541,1.304083,46811.281139,46788.517643,93633.839827,0.1000,20.0029
0.0720,1. Hover above tube,48.895301,17.836519,52756.780588,51883.469538,103815.834376,0.1000,15.4242
0.0740,1. Hover above tube,57.886412,0.061211,53033.235651,52273.907088,104605.700588,0.1000,19.6783
0.0760,1. Hover above tube,49.075326,17.554797,53116.637751,52385.323059,104819.721444,0.1000,14.7610
0.0780,1. Hover above tube,57.758084,0.269122,53109.105310,52357.786541,104773.331166,0.1000,18.0183
0.0800,1. Hover above tube,49.079021,3.731295,46677.067758,46635.555675,93320.190370,0.1000,11.9244
0.0820,1. Hover above tube,44.290220,12.945937,45620.939402,45390.028397,90824.347013,1.0000,15.9748
